Function stats for (Thread) (12): 

Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..common.py:537 is_categorical_dtype  259..  0.332975  1.649527  0.000006
..t_wlist._get_mpqa_sentiment_subset  572    0.019188  1.640085  0.002867
../indexes/base.py:4330 Index.append  4842   0.027405  1.606830  0.000332
..nals/blocks.py:2662 get_block_type  31516  0.210115  1.589000  0.000050
..ing.py:683 _LocIndexer.__setitem__  1209   0.010973  1.585838  0.001312
..s.py:2705 Series._construct_result  8216   0.036833  1.578146  0.000192
..indexes/base.py:4358 Index._concat  4842   0.018724  1.559322  0.000322
...py:3303 DataFrame._box_col_values  55967  0.140261  1.536447  0.000027
..ypes/common.py:463 is_period_dtype  216..  0.246556  1.530462  0.000007
..es/common.py:499 is_interval_dtype  212..  0.254317  1.519381  0.000007
..e/dtypes/base.py:411 Registry.find  675..  0.973413  1.518171  0.000002
..internals/concat.py:313 <listcomp>  16081  0.022075  1.509748  0.000094
..:231 JoinUnit.get_reindexed_values  16081  0.072109  1.487673  0.000093
../numpy/core/_asarray.py:14 asarray  436..  0.339409  1.476790  0.000003
.._iLocIndexer._setitem_with_indexer  1209   0.028320  1.466620  0.001213
..taFrame._get_label_or_level_values  9684   0.071905  1.398255  0.000144
..ncat.py:476 _is_uniform_join_units  16081  0.056690  1.393580  0.000087
..generic.py:5464 Series.__setattr__  234..  0.609406  1.365247  0.000006
..tiDataset_wlist.wordlevel_analysis  2      0.002172  1.361622  0.680811
..numpy/core/_dtype.py:321 _name_get  224..  0.564616  1.342525  0.000006
..als/blocks.py:752 ObjectBlock.copy  20437  0.053931  1.293833  0.000063
..das/core/nanops.py:241 _get_values  16420  0.107775  1.285593  0.000078
..cat.py:348 _get_empty_dtype_and_na  16081  0.100723  1.278097  0.000079
..s/missing.py:202 _isna_ndarraylike  32218  0.172944  1.265359  0.000039
../internals/concat.py:491 <genexpr>  32162  0.047758  1.248954  0.000039
..ndexing.py:2238 check_bool_indexer  19918  0.058221  1.241653  0.000062
..blocks.py:127 ObjectBlock.__init__  150..  0.570112  1.232234  0.000008
..core/dtypes/dtypes.py:923 is_dtype  168..  0.232161  1.224146  0.000007
..ore/dtypes/dtypes.py:1132 is_dtype  165..  0.247894  1.207587  0.000007
..rnals/concat.py:209 JoinUnit.is_na  16081  0.037939  1.201196  0.000075
..thms.py:1534 _get_take_nd_function  59286  0.291106  1.199760  0.000020
../indexes/base.py:4393 Index.equals  520..  0.225447  1.188706  0.000023
..8 FloatBlock.make_block_same_class  121..  0.203804  1.178719  0.000010
..s/core/generic.py:11046 Series.sum  6622   0.008698  1.116855  0.000169
..s/core/generic.py:10777 Series.sum  6622   0.010760  1.108158  0.000167
..42 Series._min_count_stat_function  6622   0.021226  1.097398  0.000166
..ommon.py:221 index_labels_to_array  9070   0.611110  1.093732  0.000121
..ore/dtypes/missing.py:619 isna_all  12247  0.120096  1.082804  0.000088
../core/generic.py:3605 DataFrame.xs  9684   0.023612  1.080442  0.000112
..core/series.py:4119 Series._reduce  6654   0.047227  1.075358  0.000162
..e/series.py:906 Series._get_values  11672  0.038719  1.071134  0.000092
..re/common.py:198 asarray_tuplesafe  83689  0.278225  1.038782  0.000012
..eneric.py:5408 Series.__finalize__  124..  0.571312  1.009005  0.000008
../string_cleaner.py:39 make_word_df  842    0.014348  0.995263  0.001182
..es/base.py:3478 RangeIndex.reindex  10145  0.051847  0.979588  0.000097
..4 MPQA_wlist._get_sentiment_subset  480    0.005461  0.975583  0.002032
